experiment_id,description,timestamp,config_label,dataset_size,run_index,elapsed_seconds
E14,Recovery (WAL replay) time vs. data size,2026-09-04T16:27:00.055729Z,dataset_size=200,200,1,0.005386
E14,Recovery (WAL replay) time vs. data size,2026-09-04T16:27:00.805082Z,dataset_size=200,200,2,0.004153
E14,Recovery (WAL replay) time vs. data size,2026-09-04T16:27:04.612305Z,dataset_size=1000,1000,1,0.008268
E14,Recovery (WAL replay) time vs. data size,2026-09-04T16:27:08.409387Z,dataset_size=1000,1000,2,0.008331
E14,Recovery (WAL replay) time vs. data size,2026-09-04T16:27:20.012603Z,dataset_size=3000,3000,1,0.018637
E14,Recovery (WAL replay) time vs. data size,2026-09-04T16:27:31.620037Z,dataset_size=3000,3000,2,0.018037
E15,Replica catch-up time vs. backlog size,2026-09-04T16:27:33.189779Z,backlog_size=200,200,1,0.813729
E15,Replica catch-up time vs. backlog size,2026-09-04T16:27:34.870039Z,backlog_size=200,200,2,0.743768
E15,Replica catch-up time vs. backlog size,2026-09-04T16:27:42.792040Z,backlog_size=1000,1000,1,3.810769
E15,Replica catch-up time vs. backlog size,2026-09-04T16:27:50.723379Z,backlog_size=1000,1000,2,3.849577
E15,Replica catch-up time vs. backlog size,2026-09-04T16:28:14.473101Z,backlog_size=3000,3000,1,11.953839
E15,Replica catch-up time vs. backlog size,2026-09-04T16:28:38.224039Z,backlog_size=3000,3000,2,11.925188
