experiment_id,description,timestamp,op_type,mode,concurrency,run_index,warmup_ops,measured_ops,value_size_bytes,elapsed_seconds,throughput_ops_per_sec,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
E12,Node scaling: 1 node(s),2026-09-04T16:26:23.758335Z,PUT,CLUSTER,1,1,80,400,100,1.520180,263.127,15.1395,15.9494,16.2198,16.9756,17.7167
E12,Node scaling: 1 node(s),2026-09-04T16:26:25.568879Z,PUT,CLUSTER,1,2,80,400,100,1.513944,264.211,15.0837,15.9550,16.9406,18.8525,20.1203
E12,Node scaling: 2 node(s),2026-09-04T16:26:29.213112Z,PUT,CLUSTER,2,1,160,800,100,3.045253,262.704,29.6046,31.0644,50.1334,55.0346,58.0975
E12,Node scaling: 2 node(s),2026-09-04T16:26:32.841409Z,PUT,CLUSTER,2,2,160,800,100,3.025213,264.444,29.8096,30.9736,48.1638,55.9424,59.9330
E12,Node scaling: 4 node(s),2026-09-04T16:26:38.810618Z,PUT,CLUSTER,4,1,320,1600,100,4.967241,322.110,47.6134,33.0579,118.0945,135.0424,150.0624
E12,Node scaling: 4 node(s),2026-09-04T16:26:44.781637Z,PUT,CLUSTER,4,2,320,1600,100,4.988122,320.762,47.5437,35.9272,121.0097,144.0135,153.0565
E13,Replication overhead: 0 follower(s),2026-09-04T16:26:45.747670Z,PUT,SEQUENTIAL,0,1,50,200,100,0.781960,255.767,3.9086,3.9809,4.1188,8.0166,8.9209
E13,Replication overhead: 0 follower(s),2026-09-04T16:26:46.687597Z,PUT,SEQUENTIAL,0,2,50,200,100,0.764112,261.742,3.8190,3.9790,4.1023,4.1652,4.1931
E13,Replication overhead: 1 follower(s),2026-09-04T16:26:48.611541Z,PUT,SEQUENTIAL,1,1,50,200,100,1.562057,128.036,7.8093,7.9980,9.9648,10.9071,11.9080
E13,Replication overhead: 1 follower(s),2026-09-04T16:26:51.418011Z,PUT,SEQUENTIAL,1,2,50,200,100,1.457946,137.179,7.2883,7.9524,8.9867,11.6085,12.1546
E13,Replication overhead: 2 follower(s),2026-09-04T16:26:54.937687Z,PUT,SEQUENTIAL,2,1,50,200,100,2.012166,99.395,10.0595,10.9902,14.0129,16.0303,18.9091
E13,Replication overhead: 2 follower(s),2026-09-04T16:26:58.300936Z,PUT,SEQUENTIAL,2,2,50,200,100,1.898885,105.325,9.4929,8.8620,12.9757,16.0093,16.1136
